 itemsNumber	version	feature	description
    29	/en/qgis/version/2.14.0/	Analysis Tools	z/m values are shown when using the identify tool 
    30	/en/qgis/version/2.14.0/	Analysis Tools	Unified handling of distance and area units and coordinate formats
    31	/en/qgis/version/2.14.0/	Processing	Improved toolbox
    32	/en/qgis/version/2.14.0/	Processing	Batch processes can be saved and later recovered from the batch processing interface
    33	/en/qgis/version/2.14.0/	Processing	New algorithms in 2.14
    34	/en/qgis/version/2.14.0/	Processing	Unit Tests Q/A
    35	/en/qgis/version/2.14.0/	Processing	More informative algorithm dialog
    36	/en/qgis/version/2.14.0/	Processing	GRASS7 v.net modules
    37	/en/qgis/version/2.14.0/	Browser	Browser Improvements
    38	/en/qgis/version/2.14.0/	General	Zoom to feature with right-click in attribute table
    39	/en/qgis/version/2.14.0/	General	Changed behaviour of strpos function
    40	/en/qgis/version/2.14.0/	General	Speed and memory improvements
    41	/en/qgis/version/2.14.0/	General	More expression variables
    42	/en/qgis/version/2.14.0/	General	Better control over placement of map elements
    43	/en/qgis/version/2.14.0/	General	Paid bugfixing programme
    44	/en/qgis/version/2.14.0/	General	Field calculator can be used to update feature&#39;s geometry 
    45	/en/qgis/version/2.14.0/	General	New expression functions in 2.14
    46	/en/qgis/version/2.14.0/	Data Providers	Cache WMS capabililies
    47	/en/qgis/version/2.14.0/	Data Providers	Curved geometry support expanded
    48	/en/qgis/version/2.14.0/	Data Providers	Better handling of time and datetime fields
    49	/en/qgis/version/2.14.0/	Data Providers	Z/M support in delimited text provider
    50	/en/qgis/version/2.14.0/	Data Providers	Transaction groups for postgres editing
    51	/en/qgis/version/2.14.0/	Data Providers	Postgres provider PKI authentication
    52	/en/qgis/version/2.14.0/	Data Providers	Virtual layers
    53	/en/qgis/version/2.14.0/	Data Providers	More file extensions for GDAL and OGR providers file selectors
    54	/en/qgis/version/2.14.0/	Data Providers	Use ST_RemoveRepeatedPoints for server-side simplification with PostGIS 2.2 (or newer) layers
    55	/en/qgis/version/2.14.0/	QGIS Server	STARTINDEX param in WFS GetFeature Request 
    56	/en/qgis/version/2.14.0/	QGIS Server	showFeatureCount in GetLegendGraphic 
    57	/en/qgis/version/2.14.0/	QGIS Server	Option to avoid rendering artefacts at edges of tiles
    58	/en/qgis/version/2.14.0/	QGIS Server	Configuration checker in project properties
    59	/en/qgis/version/2.14.0/	QGIS Server	WMS INSPIRE Capabilities
    60	/en/qgis/version/2.14.0/	QGIS Server	Add short name to layers, groups and project
    61	/en/qgis/version/2.14.0/	Plugins	Authentication system support for plugin manager
    62	/en/qgis/version/2.14.0/	Programmability	Redesign expression function editor
    63	/en/qgis/version/2.14.0/	Programmability	Store python init code into the project
    64	/en/qgis/version/2.14.0/	Programmability	New filtering and sorting options for QgsFeatureRequest
    65	/en/qgis/version/2.14.0/	Programmability	Custom feature form Python code options
    66	/en/qgis/version/2.14.0/	Programmability	New PyQGIS classes in 2.14
     1	/en/qgis/version/2.16.0/	Documentation	Authentication system&#39;s documentation in users manual
     2	/en/qgis/version/2.16.0/	Documentation	QGIS 2.14 Documentation
     3	/en/qgis/version/2.16.0/	User Interface	Map canvas magnifier
     4	/en/qgis/version/2.16.0/	User Interface	Improvements to map zooming
     5	/en/qgis/version/2.16.0/	User Interface	Redesigned interactive gradient editor
     6	/en/qgis/version/2.16.0/	User Interface	Choice of default view for the attribute dialog
     7	/en/qgis/version/2.16.0/	User Interface	Improvements to calendar popups
     8	/en/qgis/version/2.16.0/	User Interface	Improved color pickers
     9	/en/qgis/version/2.16.0/	User Interface	Copy cell contents from attribute table
    10	/en/qgis/version/2.16.0/	User Interface	Improved HiDPI support
    11	/en/qgis/version/2.16.0/	User Interface	Improved map select tool behaviour
    12	/en/qgis/version/2.16.0/	Symbology	Arrow symbol layer
    13	/en/qgis/version/2.16.0/	Symbology	New &quot;Filled marker&quot; symbol layer type
    14	/en/qgis/version/2.16.0/	Symbology	New accessibility and low vision symbols
    15	/en/qgis/version/2.16.0/	Symbology	New simple marker symbols
    16	/en/qgis/version/2.16.0/	Symbology	&quot;No symbol&quot; renderer
    17	/en/qgis/version/2.16.0/	Symbology	More control over centroid fill point rendering
    18	/en/qgis/version/2.16.0/	Symbology	Outline setting for font markers symbol
    19	/en/qgis/version/2.16.0/	Symbology	Control outline join style for simple, ellipse, and font markers
    20	/en/qgis/version/2.16.0/	Symbology	New map tool for interactively setting point symbol offset
    21	/en/qgis/version/2.16.0/	Symbology	Style Dock
    22	/en/qgis/version/2.16.0/	Labelling	Labeling map tools now work with rule-based labeling 
    23	/en/qgis/version/2.16.0/	Diagrams	Legend entries for diagram size
    24	/en/qgis/version/2.16.0/	Diagrams	Unit selection for outline width
    25	/en/qgis/version/2.16.0/	Diagrams	Diagrams behave like labels and can be managed from toolbar
    26	/en/qgis/version/2.16.0/	Rendering	New options for on the fly simplification
    27	/en/qgis/version/2.16.0/	Rendering	Quantile based classification for raster layers
    28	/en/qgis/version/2.16.0/	Rendering	Live hillshade renderer
    29	/en/qgis/version/2.16.0/	Digitising	&quot;Repeating&quot; locking mode for constraints
    30	/en/qgis/version/2.16.0/	Digitising	Extend linestring geometries with reshape tool
    31	/en/qgis/version/2.16.0/	Digitising	Segmentation tolerance
    32	/en/qgis/version/2.16.0/	Data Management	New configuration options for attribute table
    33	/en/qgis/version/2.16.0/	Data Management	Multiple columns in attribute forms
    34	/en/qgis/version/2.16.0/	Data Management	Control over attributes to export when saving a vector layer
    35	/en/qgis/version/2.16.0/	Data Management	Forms view: side column now sortable
    36	/en/qgis/version/2.16.0/	Data Management	Relation reference widget: shortcut for adding new values
    37	/en/qgis/version/2.16.0/	Data Management	DXF export improvements
    38	/en/qgis/version/2.16.0/	Data Management	Top level widgets in drag and drop designer
    39	/en/qgis/version/2.16.0/	Data Management	Form based select and filter
    40	/en/qgis/version/2.16.0/	Data Management	Create GeoPackage layers
    41	/en/qgis/version/2.16.0/	Data Management	Constraints on widgets
    42	/en/qgis/version/2.16.0/	Data Management	Edit attributes of multiple features simultaneously
    43	/en/qgis/version/2.16.0/	Layer Legend	New option to zoom to a layer&#39;s visible scale range
    44	/en/qgis/version/2.16.0/	Map Composer	New tools for drawing polygons and polylines
    45	/en/qgis/version/2.16.0/	Map Composer	Relative links in composer labels
    46	/en/qgis/version/2.16.0/	Map Composer	Embed atlas features into composer HTML source as GeoJSON
    47	/en/qgis/version/2.16.0/	Map Composer	Parameterized svg support for composer svg images
    48	/en/qgis/version/2.16.0/	Map Composer	Easier use of HTML in labels
    49	/en/qgis/version/2.16.0/	Map Composer	Georeference outputs (eg PDF) from composer
    50	/en/qgis/version/2.16.0/	Map Composer	Composer maps now auto-update with presets
    51	/en/qgis/version/2.16.0/	Analysis Tools	Named parameters in expressions
    52	/en/qgis/version/2.16.0/	Analysis Tools	More distance units
    53	/en/qgis/version/2.16.0/	Analysis Tools	Changes to expressions
    54	/en/qgis/version/2.16.0/	Analysis Tools	Statistics for string and date fields
    55	/en/qgis/version/2.16.0/	Analysis Tools	Show curve point radius in info tool
    56	/en/qgis/version/2.16.0/	Analysis Tools	Aggregate support for expressions
    57	/en/qgis/version/2.16.0/	Analysis Tools	fTools plugin has been replaced with Processing algorithms
    58	/en/qgis/version/2.16.0/	Processing	Set point locations by clicking on canvas
    59	/en/qgis/version/2.16.0/	Processing	Support for expressions and variables
    60	/en/qgis/version/2.16.0/	Processing	Preconfigured algorithms
    61	/en/qgis/version/2.16.0/	Processing	Create a plugin with script-based algorithms from the toolbox
    62	/en/qgis/version/2.16.0/	Processing	Use of authentication manager in PostGIS related algorithms
    63	/en/qgis/version/2.16.0/	Processing	Support for writing tables with no geometry
    64	/en/qgis/version/2.16.0/	Processing	Additional GRASS algorithms in processing
    65	/en/qgis/version/2.16.0/	General	Copying features in GeoJSON format
    66	/en/qgis/version/2.16.0/	General	Store spatial bookmarks in project files
    67	/en/qgis/version/2.16.0/	General	Support for GNSS GNRMC messages
    68	/en/qgis/version/2.16.0/	General	Paste GeoJSON features directly into QGIS
    69	/en/qgis/version/2.16.0/	General	Map tip improvements
    70	/en/qgis/version/2.16.0/	General	Desktop MIME icons for QGIS file types
    71	/en/qgis/version/2.16.0/	Data Providers	OGR datasets are opened in read-only mode by default
    72	/en/qgis/version/2.16.0/	Data Providers	Improved handling of Postgres DOMAIN type fields 
    73	/en/qgis/version/2.16.0/	Data Providers	Make readOnly mode of vector layers configurable in project
    74	/en/qgis/version/2.16.0/	Data Providers	Support for DB2 databases
    75	/en/qgis/version/2.16.0/	Data Providers	Refresh Postgres materialized views in db manager
    76	/en/qgis/version/2.16.0/	Data Providers	OGR FID attribute shown
    77	/en/qgis/version/2.16.0/	Data Providers	ArcGIS Map and Feature REST services
    78	/en/qgis/version/2.16.0/	Data Providers	Save styles in MS SQL and Oracle databases
    79	/en/qgis/version/2.16.0/	Data Providers	Rename fields in layers
    80	/en/qgis/version/2.16.0/	Data Providers	Basic support for Oracle Workspace Manager
    81	/en/qgis/version/2.16.0/	Data Providers	Massive improvements to WFS Provider
    82	/en/qgis/version/2.16.0/	Data Providers	Generation of default values on Postgres layers &quot;just in time&quot;
    83	/en/qgis/version/2.16.0/	QGIS Server	Redlining support in GetMap and GetPrint
    84	/en/qgis/version/2.16.0/	QGIS Server	Default datum transformation for server
    85	/en/qgis/version/2.16.0/	Plugins	Refreshed globe plugin
    86	/en/qgis/version/2.16.0/	Plugins	Globe: Extrude objects
    87	/en/qgis/version/2.16.0/	Plugins	Globe: Vector support
    88	/en/qgis/version/2.16.0/	Plugins	Globe: Vertical exaggeration for DTM
    89	/en/qgis/version/2.16.0/	Plugins	API: Add pages to vector layer properties
    90	/en/qgis/version/2.16.0/	Programmability	Embedded widgets in layer tree
    91	/en/qgis/version/2.16.0/	Programmability	Plugins can add pages to vector layer properties
    92	/en/qgis/version/2.16.0/	Programmability	New PyQGIS classes in 2.16
    93	/en/qgis/version/2.16.0/	Notable Fixes	QGIS Paid Bugfixing Programme
     1	/en/qgis/version/2.18.0/	Symbology	Color picker is now embedded in layer style panel 
     2	/en/qgis/version/2.18.0/	Labelling	Substitution list support for labeling 
     3	/en/qgis/version/2.18.0/	Labelling	Improved line label placement algorithm
     4	/en/qgis/version/2.18.0/	Labelling	Label polygons using curved labels along perimeter 
     5	/en/qgis/version/2.18.0/	Rendering	Preview of raster tiles (WMTS and XYZ layers)
     6	/en/qgis/version/2.18.0/	Rendering	Cancellable rendering of rasters (WMS, WMTS, WCS and XYZ layers)
     7	/en/qgis/version/2.18.0/	Data Management	Add flag to only copy selected features 
     8	/en/qgis/version/2.18.0/	Forms and Widgets	Allow controlling labels for individual edit widgets
     9	/en/qgis/version/2.18.0/	Forms and Widgets	Conditional visibility for tabs and group boxes
    10	/en/qgis/version/2.18.0/	Forms and Widgets	Client side default field values
    11	/en/qgis/version/2.18.0/	Map Composer	True North Arrows
    12	/en/qgis/version/2.18.0/	Processing	Point on surface algorithm
    13	/en/qgis/version/2.18.0/	Processing	Processing dissolve algorithm accepts multiple fields  
    14	/en/qgis/version/2.18.0/	Processing	Optimised processing clip algorithm
    15	/en/qgis/version/2.18.0/	Processing	Bounding boxes algorithm
    16	/en/qgis/version/2.18.0/	Processing	Merge connected lines algorithm
    17	/en/qgis/version/2.18.0/	Processing	Geometry boundary algorithm
    18	/en/qgis/version/2.18.0/	General	Automatic links in identify results
    19	/en/qgis/version/2.18.0/	General	Mouse wheel over color dialog sliders
    20	/en/qgis/version/2.18.0/	General	Add custom color schemes to color button drop down menu
    21	/en/qgis/version/2.18.0/	Data Providers	Native support of XYZ tile layers
    22	/en/qgis/version/2.18.0/	QGIS Server	Possibility to segmentize feature info geometry in server
    23	/en/qgis/version/2.18.0/	Plugins	DB Manager: Add the ability to update SQL Layer
    24	/en/qgis/version/2.18.0/	Programmability	Expose GEOS linear referencing function to QgsGeometry
    25	/en/qgis/version/2.18.0/	Programmability	New PyQGIS classes in 2.18
    26	/en/qgis/version/2.18.0/	Programmability	New expression functions
     1	/en/qgis/version/3.0.0/	Expressions	New expression variables
     2	/en/qgis/version/3.0.0/	Expressions	new global expression variable @qgis_locale
     3	/en/qgis/version/3.0.0/	Expressions	New expression variables for map settings
     4	/en/qgis/version/3.0.0/	Expressions	New expression functions
     5	/en/qgis/version/3.0.0/	Expressions	Expose @parent variable in aggregate functions
     6	/en/qgis/version/3.0.0/	Expressions	item_variables expression function inside compositions
     7	/en/qgis/version/3.0.0/	Documentation	Processing algorithms enhancements
     8	/en/qgis/version/3.0.0/	User Interface	Enable tabbed floating docks
     9	/en/qgis/version/3.0.0/	User Interface	Add support for fine-resolution mouse wheel zooming
    10	/en/qgis/version/3.0.0/	User Interface	add search bar to the Configure Shortcuts dialog
    11	/en/qgis/version/3.0.0/	User Interface	Locator bar
    12	/en/qgis/version/3.0.0/	User Interface	More non-blocking, inline editing
    13	/en/qgis/version/3.0.0/	User Interface	Add an option to show user color schemes menus
    14	/en/qgis/version/3.0.0/	User Interface	Color setting for map canvas north arrow decoration
    15	/en/qgis/version/3.0.0/	User Interface	Improved map canvas&#39; save as image
    16	/en/qgis/version/3.0.0/	User Interface	Toggle visibility of opened panels in main window
    17	/en/qgis/version/3.0.0/	User Interface	Improved consistency to the user interface
    18	/en/qgis/version/3.0.0/	User Interface	Open layers in a single group
    19	/en/qgis/version/3.0.0/	Symbology	Data defined symbol layer visibility
    20	/en/qgis/version/3.0.0/	Symbology	save and restore color ramp used for singleband pseudocolor rendering
    21	/en/qgis/version/3.0.0/	Symbology	Add Points  and Inches to available symbol units
    22	/en/qgis/version/3.0.0/	Symbology	New color ramp button widget
    23	/en/qgis/version/3.0.0/	Symbology	Style management re-work and upgrade
    24	/en/qgis/version/3.0.0/	Symbology	Support setting of color and transparency on multiple items for raster renderers
    25	/en/qgis/version/3.0.0/	Symbology	Show an alpha slider in color button drop down menu
    26	/en/qgis/version/3.0.0/	Symbology	Raster stretch toolbar actions support for pseudocolor renderer
    27	/en/qgis/version/3.0.0/	Symbology	Transparency support for paletted renderer
    28	/en/qgis/version/3.0.0/	Symbology	raster auto-stretching when updating canvas
    29	/en/qgis/version/3.0.0/	Symbology	Control over annotation contents margins
    30	/en/qgis/version/3.0.0/	Symbology	Annotations can be styled using fill symbol styles
    31	/en/qgis/version/3.0.0/	Symbology	Point cluster renderer
    32	/en/qgis/version/3.0.0/	Symbology	NEW MAP COLORING ALGORITHMS IN QGIS 3.0
    33	/en/qgis/version/3.0.0/	Symbology	 New &quot;preset&quot; colors color ramp option
    34	/en/qgis/version/3.0.0/	Symbology	Allow symbol layers to be temporarily disabled
    35	/en/qgis/version/3.0.0/	Symbology	Easy styling of discrete rasters
    36	/en/qgis/version/3.0.0/	Labelling	Allow label font size in mm/pixels
    37	/en/qgis/version/3.0.0/	Labelling	Custom labelling toolbar is now always enabled
    38	/en/qgis/version/3.0.0/	Diagrams	Data definable properties
    39	/en/qgis/version/3.0.0/	Rendering	Live layer support
    40	/en/qgis/version/3.0.0/	Rendering	Trigger layer refresh or layer actions from PostgreSQL NOTIFY signal 
    41	/en/qgis/version/3.0.0/	Rendering	Cache labeling result to avoid unnecessary redraws     when refreshing canvas
    42	/en/qgis/version/3.0.0/	Rendering	Grid renderer for points displacement
    43	/en/qgis/version/3.0.0/	Digitising	Range vertex selection in node tool
    44	/en/qgis/version/3.0.0/	Digitising	Add default Z value option
    45	/en/qgis/version/3.0.0/	Digitising	Move feature now benefits from Advanced Digitizing
    46	/en/qgis/version/3.0.0/	Digitising	Added  functionnality to copy/move feature to move feature map tool
    47	/en/qgis/version/3.0.0/	Digitising	Tracing with offset
    48	/en/qgis/version/3.0.0/	Digitising	Overhaul of the Vertex tool
    49	/en/qgis/version/3.0.0/	Digitising	Vertex tool: mid-point markers to add vertices
    50	/en/qgis/version/3.0.0/	Digitising	Vertex tool: continue line
    51	/en/qgis/version/3.0.0/	Digitising	Vertex tool: support for advanced digitizing panel
    52	/en/qgis/version/3.0.0/	Data Management	Pan to current feature in attribute table
    53	/en/qgis/version/3.0.0/	Data Management	Map of CRS-extent in Project properties 
    54	/en/qgis/version/3.0.0/	Data Management	Auxilliary Storage Support
    55	/en/qgis/version/3.0.0/	Data Management	Metadata overhaul
    56	/en/qgis/version/3.0.0/	Data Management	Unified data source manager dialog
    57	/en/qgis/version/3.0.0/	Data Management	OSM Downloader tool removed
    58	/en/qgis/version/3.0.0/	Forms and Widgets	Allow controlling labels for individual edit widgets
    59	/en/qgis/version/3.0.0/	Forms and Widgets	Allow configuring link/unlink feature buttons on relation editor widget
    60	/en/qgis/version/3.0.0/	Forms and Widgets	conditional visibility for tabs and groupboxes
    61	/en/qgis/version/3.0.0/	Forms and Widgets	Smarter default edit widgets with plugins to pick them
    62	/en/qgis/version/3.0.0/	Forms and Widgets	Field constraints can be enforced or not
    63	/en/qgis/version/3.0.0/	Forms and Widgets	Add layer scoped actions
    64	/en/qgis/version/3.0.0/	Forms and Widgets	Show field values in autocompleter in form filter mode
    65	/en/qgis/version/3.0.0/	Forms and Widgets	Add zoom to features and flash features shortcuts in select by form dialog
    66	/en/qgis/version/3.0.0/	Forms and Widgets	Add between/not between to numerical fields in select by form
    67	/en/qgis/version/3.0.0/	Layer Legend	Hide Deselected Layers action
    68	/en/qgis/version/3.0.0/	Layer Legend	Change of ergonomy of the visibility of layers inside groups
    69	/en/qgis/version/3.0.0/	Map Composer	Control over drawing of composer table grid horizontal &amp; vertical lines
    70	/en/qgis/version/3.0.0/	Map Composer	Drag qpt to QGIS to create new composer from template
    71	/en/qgis/version/3.0.0/	Map Composer	Allow customization of line spacing for composer legend item labels
    72	/en/qgis/version/3.0.0/	Map Composer	Allow choice of CRS for map items
    73	/en/qgis/version/3.0.0/	Map Composer	Holding shift while drawing polyline/polygon constrains     line angles
    74	/en/qgis/version/3.0.0/	Map Composer	More data definable controls
    75	/en/qgis/version/3.0.0/	Map Composer	Map Composer Overhaul
    76	/en/qgis/version/3.0.0/	Analysis Tools	Raster unique values count for processing
    77	/en/qgis/version/3.0.0/	Processing	 New algorithm for offsetting lines
    78	/en/qgis/version/3.0.0/	Processing	New algorithm for single sided buffers
    79	/en/qgis/version/3.0.0/	Processing	Add choice of simplification method to simplify
    80	/en/qgis/version/3.0.0/	Processing	support for output geometry types in models
    81	/en/qgis/version/3.0.0/	Processing	Angle threshold for smooth algorithm
    82	/en/qgis/version/3.0.0/	Processing	Better support for Z/M dimensions and curved geometries
    83	/en/qgis/version/3.0.0/	Processing	Raster analysis algorithms added to Processing
    84	/en/qgis/version/3.0.0/	Processing	New algorithm to extract specific nodes
    85	/en/qgis/version/3.0.0/	Processing	expose zonal statistics from Zonal statistics plugin in toolbox
    86	/en/qgis/version/3.0.0/	Processing	add a spatialite execute SQL algorithm
    87	/en/qgis/version/3.0.0/	Processing	New algorithm to extend lines
    88	/en/qgis/version/3.0.0/	Processing	New extract by expression algorithm
    89	/en/qgis/version/3.0.0/	Processing	add import into spatialite algorithm
    90	/en/qgis/version/3.0.0/	Processing	Interpolation algorithms
    91	/en/qgis/version/3.0.0/	Processing	New algorithm to compute geometry by expression
    92	/en/qgis/version/3.0.0/	Processing	Snap geometries to layer algorithm
    93	/en/qgis/version/3.0.0/	Processing	New input type for expressions
    94	/en/qgis/version/3.0.0/	Processing	SplitWithLines
    95	/en/qgis/version/3.0.0/	Processing	pole of inaccessibility algorithm
    96	/en/qgis/version/3.0.0/	Processing	Extract by attribute can extract for null/notnull values
    97	/en/qgis/version/3.0.0/	Processing	Create attribute index algorithm
    98	/en/qgis/version/3.0.0/	Processing	New &#39;drop geometries&#39; algorithm
    99	/en/qgis/version/3.0.0/	Processing	New universal &#39;basic stats for field&#39; algorithm
   100	/en/qgis/version/3.0.0/	Processing	Port heatmap plugin to processing algorithm
